date,rate
1994-01-27,10.5
1994-05-12,11.0
1994-05-26,11.5
1994-06-30,12.0
1994-07-28,12.5
1994-09-01,14.0
1994-09-29,15.5
1994-12-01,17.0
1995-02-23,16.3
1995-03-23,14.8
1995-04-27,14.0
1995-06-01,13.5
1995-07-27,13.2
1995-09-28,13.7
1995-10-26,14.2
1995-12-28,13.7
1996-02-01,14.0
1996-04-25,14.8
1996-05-30,15.5
1996-06-27,17.0
1996-08-01,16.3
1996-08-29,15.8
1996-09-26,15.5
1996-10-31,15.2
1996-12-26,14.7
1997-01-30,14.2
1997-02-27,13.9
1997-06-19,12.7
1997-08-28,13.4
1998-01-29,12.9
1998-02-26,12.6
1998-03-26,12.2
1998-04-30,11.9
1998-05-28,11.6
1998-06-25,11.3
1998-07-30,11.0
1998-08-09,9.5
1998-10-29,11.5
1998-11-15,13.5
1999-02-25,13.0
1999-04-02,12.5
1999-04-29,12.0
1999-07-29,11.5
1999-11-25,11.2
1999-12-30,10.7
2000-01-27,10.3
2000-02-24,9.9
2000-03-30,9.6
2000-04-27,9.3
2000-07-27,9.1
2000-08-31,8.9
2000-09-28,8.6
2000-10-26,8.4
2000-11-30,8.2
2000-12-28,8.0
2001-02-01,7.7
2001-03-01,7.5
2001-03-29,7.2
2001-05-31,7.0
2001-06-21,6.8
2001-06-28,6.5
2001-07-26,6.3
2001-11-01,6.1
2001-11-29,5.8
2001-12-25,3.8
2002-02-28,4.4
2002-04-25,4.6
2002-05-30,5.6
2002-06-11,7.1
2002-06-27,9.1
2002-12-26,8.9
2003-03-27,8.7
2003-05-01,8.4
2003-05-29,8.0
2003-06-26,7.5
2003-07-31,7.0
2003-08-28,6.5
2003-09-25,6.1
2003-10-30,5.6
2003-11-27,5.2
2004-01-01,4.8
2004-01-29,4.5
2004-02-26,4.3
2004-04-01,4.1
2004-11-25,3.9
2004-12-30,3.7
2005-01-27,3.5
2005-09-29,3.75
2005-10-27,4.0
2005-12-01,4.5
2006-01-26,4.75
2006-03-30,5.0
2006-04-27,5.25
2006-07-27,5.5
2006-10-26,5.25
2006-11-30,5.0
2006-12-28,4.5
2007-02-01,4.25
2007-03-01,4.0
2007-04-26,3.75
2007-05-31,3.5
2007-07-26,3.75
2007-08-30,4.0
2007-12-27,4.25
2008-02-28,3.75
2008-03-27,3.25
2008-05-29,3.5
2008-06-26,3.75
2008-07-31,4.0
2008-08-28,4.25
2008-10-12,3.75
2008-10-30,3.5
2008-11-14,3.0
2008-11-27,2.5
2009-01-01,1.75
2009-01-29,1.0
2009-02-26,0.75
2009-03-26,0.5
2009-08-27,0.75
2009-11-26,1.0
2009-12-31,1.25
2010-04-01,1.5
2010-07-29,1.75
2010-10-01,2.0
2011-01-27,2.25
2011-02-24,2.5
2011-03-31,3.0
2011-05-26,3.25
2011-10-02,3.0
2011-12-01,2.75
2012-01-26,2.5
2012-06-28,2.25
2012-11-01,2.0
2012-12-27,1.75
2013-05-17,1.5
2013-05-30,1.25
2013-09-27,1.0
2014-02-27,0.75
2014-07-31,0.5
2014-08-28,0.25
2015-02-26,0.1
2018-11-29,0.25
2020-04-10,0.1
2022-04-14,0.35
2022-05-26,0.75
2022-07-07,1.25
2022-08-25,2.0
2022-10-09,2.75
2022-11-24,3.25
2023-01-05,3.75
2023-02-23,4.25
2023-04-07,4.5
2023-05-25,4.75
2024-01-04,4.5
2025-11-27,4.25
2026-01-08,4.0
2026-05-28,3.75
2026-07-09,3.5
2026-09-03,3.25
