month,year,month_num,value,base_desc,chained_1950_07
2000-01,2000,1,179.1,1992 ינואר,44820240.6462416
2000-02,2000,2,179.4,1992 ינואר,44895316.4262186
2000-03,2000,3,179.9,1992 ינואר,45020442.7261802
2000-04,2000,4,180.0,1992 ינואר,45045467.9861725
2000-05,2000,5,180.7,1992 ינואר,45220644.8061187
2000-06,2000,6,183.7,1992 ינואר,45971402.6058883
2000-07,2000,7,186.5,1992 ינואר,46672109.8856732
2000-08,2000,8,186.2,1992 ינואר,46597034.1056962
2000-09,2000,9,185.8,1992 ינואר,46496933.0657269
2000-10,2000,10,182.4,1992 ינואר,45646074.2259881
2000-11,2000,11,183.1,1992 ינואר,45821251.0459343
2000-12,2000,12,183.5,1992 ינואר,45921352.0859036
2001-01,2001,1,184.0,1992 ינואר,46046478.3858652
2001-02,2001,2,183.4,1992 ינואר,45896326.8259113
2001-03,2001,3,183.1,1992 ינואר,45821251.0459343
2001-04,2001,4,182.9,1992 ינואר,45771200.5259497
2001-05,2001,5,183.1,1992 ינואר,45821251.0459343
2001-06,2001,6,185.3,1992 ינואר,46371806.7657653
2001-07,2001,7,187.5,1992 ינואר,46922362.4855963
2001-08,2001,8,187.8,1992 ינואר,46997438.2655733
2001-09,2001,9,187.2,1992 ינואר,46847286.7056194
2001-10,2001,10,185.0,1992 ינואר,46296730.9857884
2001-11,2001,11,185.1,1992 ינואר,46321756.2457807
2001-12,2001,12,185.4,1992 ינואר,46396832.0257577
2002-01,2002,1,186.7,1992 ינואר,46722160.4056578
2002-02,2002,2,188.0,1992 ינואר,47047488.7855579
2002-03,2002,3,188.3,1992 ינואר,47122564.5655349
2002-04,2002,4,189.7,1992 ינואר,47472918.2054273
2002-05,2002,5,191.1,1992 ינואר,47823271.8453198
2002-06,2002,6,194.5,1992 ינואר,48674130.6850586
2002-07,2002,7,197.3,1992 ינואר,49374837.9648435
2002-08,2002,8,198.0,1992 ינואר,49550014.7847897
2002-09,2002,9,196.0,1992 ינואר,49049509.5849434
2002-10,2002,10,195.2,1992 ינואר,48849307.5050048
2002-11,2002,11,196.2,1992 ינואר,49099560.104928
2002-12,2002,12,197.6,1992 ינואר,49449913.7448204
2003-01,2003,1,199.2,1992 ינואר,49850317.9046975
2003-02,2003,2,200.1,1992 ינואר,50075545.2446284
2003-03,2003,3,200.5,1992 ינואר,50175646.2845977
2003-04,2003,4,200.0,1992 ינואר,50050519.9846361
2003-05,2003,5,198.7,1992 ינואר,49725191.6047359
2003-06,2003,6,200.3,1992 ינואר,50125595.7646131
2003-07,2003,7,202.8,1992 ינואר,50751227.264421
2003-08,2003,8,203.6,1992 ינואר,50951429.3443595
2003-09,2003,9,204.8,1992 ינואר,51251732.4642674
2003-10,2003,10,201.7,1992 ינואר,50475949.4045055
2003-11,2003,11,202.8,1992 ינואר,50751227.264421
2003-12,2003,12,202.3,1992 ינואר,50626100.9644594
2004-01,2004,1,204.8,1992 ינואר,51251732.4642674
2004-02,2004,2,101.3,2004 ינואר,51918004.9863028
2004-03,2004,3,102.8,2004 ינואר,52686780.9732668
2004-04,2004,4,103.2,2004 ינואר,52891787.9031239
2004-05,2004,5,103.6,2004 ינואר,53096794.832981
2004-06,2004,6,103.7,2004 ינואר,53148046.5654452
2004-07,2004,7,104.1,2004 ינואר,53353053.4953023
2004-08,2004,8,103.8,2004 ינואר,53199298.2979095
2004-09,2004,9,103.9,2004 ינואר,53250550.0303738
2004-10,2004,10,103.2,2004 ינואר,52891787.9031239
2004-11,2004,11,103.4,2004 ינואר,52994291.3680524
2004-12,2004,12,103.6,2004 ינואר,53096794.832981
2005-01,2005,1,104.4,2004 ינואר,53506808.6926951
2005-02,2005,2,104.5,2004 ינואר,53558060.4251594
2005-03,2005,3,104.8,2004 ינואר,53711815.6225522
2005-04,2005,4,105.1,2004 ינואר,53865570.819945
2005-05,2005,5,105.3,2004 ינואר,53968074.2848735
2005-06,2005,6,105.8,2004 ינואר,54224332.9471949
2005-07,2005,7,108.8,2004 ינואר,55761884.9211229
2005-08,2005,8,111.7,2004 ינואר,57248185.1625866
2005-09,2005,9,112.0,2004 ינואר,57401940.3599794
2005-10,2005,10,111.4,2004 ינואר,57094429.9651938
