month,year,month_num,value,base_desc,chained_1951_09
1951-09,1951,9,100.0,1951 ספטמבר,100.0
1951-10,1951,10,103.0,1951 ספטמבר,103.0
1951-11,1951,11,105.0,1951 ספטמבר,105.0
1951-12,1951,12,107.0,1951 ספטמבר,107.0
1952-01,1952,1,113.0,1951 ספטמבר,113.0
1952-02,1952,2,120.0,1951 ספטמבר,120.0
1952-03,1952,3,132.0,1951 ספטמבר,132.0
1952-04,1952,4,144.0,1951 ספטמבר,144.0
1952-05,1952,5,150.0,1951 ספטמבר,150.0
1952-06,1952,6,157.0,1951 ספטמבר,157.0
1952-07,1952,7,162.0,1951 ספטמבר,162.0
1952-08,1952,8,165.0,1951 ספטמבר,165.0
1952-09,1952,9,169.0,1951 ספטמבר,169.0
1952-10,1952,10,173.0,1951 ספטמבר,173.0
1952-11,1952,11,175.0,1951 ספטמבר,175.0
1952-12,1952,12,178.0,1951 ספטמבר,178.0
1953-01,1953,1,181.0,1951 ספטמבר,181.0
1953-02,1953,2,182.0,1951 ספטמבר,182.0
1953-03,1953,3,184.0,1951 ספטמבר,184.0
1953-04,1953,4,187.0,1951 ספטמבר,187.0
1953-05,1953,5,191.0,1951 ספטמבר,191.0
1953-06,1953,6,197.0,1951 ספטמבר,197.0
1953-07,1953,7,200.0,1951 ספטמבר,200.0
1953-08,1953,8,201.0,1951 ספטמבר,201.0
1953-09,1953,9,205.0,1951 ספטמבר,205.0
1953-10,1953,10,207.0,1951 ספטמבר,207.0
1953-11,1953,11,208.0,1951 ספטמבר,208.0
1953-12,1953,12,212.0,1951 ספטמבר,212.0
1954-01,1954,1,214.0,1951 ספטמבר,214.0
1954-02,1954,2,216.0,1951 ספטמבר,216.0
1954-03,1954,3,217.0,1951 ספטמבר,217.0
1954-04,1954,4,217.0,1951 ספטמבר,217.0
1954-05,1954,5,218.0,1951 ספטמבר,218.0
1954-06,1954,6,214.0,1951 ספטמבר,214.0
1954-07,1954,7,217.0,1951 ספטמבר,217.0
1954-08,1954,8,222.0,1951 ספטמבר,222.0
1954-09,1954,9,227.0,1951 ספטמבר,227.0
1954-10,1954,10,227.0,1951 ספטמבר,227.0
1954-11,1954,11,228.0,1951 ספטמבר,228.0
1954-12,1954,12,228.0,1951 ספטמבר,228.0
1955-01,1955,1,228.0,1951 ספטמבר,228.0
1955-02,1955,2,228.0,1951 ספטמבר,228.0
1955-03,1955,3,229.0,1951 ספטמבר,229.0
1955-04,1955,4,230.0,1951 ספטמבר,230.0
1955-05,1955,5,230.0,1951 ספטמבר,230.0
1955-06,1955,6,232.0,1951 ספטמבר,232.0
1955-07,1955,7,233.0,1951 ספטמבר,233.0
1955-08,1955,8,231.0,1951 ספטמבר,231.0
1955-09,1955,9,239.0,1951 ספטמבר,239.0
1955-10,1955,10,238.0,1951 ספטמבר,238.0
1955-11,1955,11,236.0,1951 ספטמבר,236.0
1955-12,1955,12,239.0,1951 ספטמבר,239.0
1956-01,1956,1,238.0,1951 ספטמבר,238.0
1956-02,1956,2,239.0,1951 ספטמבר,239.0
1956-03,1956,3,244.0,1951 ספטמבר,244.0
1956-04,1956,4,246.0,1951 ספטמבר,246.0
1956-05,1956,5,249.0,1951 ספטמבר,249.0
1956-06,1956,6,249.0,1951 ספטמבר,249.0
1956-07,1956,7,244.0,1951 ספטמבר,244.0
1956-08,1956,8,247.0,1951 ספטמבר,247.0
1956-09,1956,9,260.0,1951 ספטמבר,260.0
1956-10,1956,10,259.0,1951 ספטמבר,259.0
1956-11,1956,11,248.0,1951 ספטמבר,248.0
1956-12,1956,12,250.0,1951 ספטמבר,250.0
1957-01,1957,1,254.0,1951 ספטמבר,254.0
1957-02,1957,2,259.0,1951 ספטמבר,259.0
1957-03,1957,3,261.0,1951 ספטמבר,261.0
1957-04,1957,4,265.0,1951 ספטמבר,265.0
1957-05,1957,5,270.0,1951 ספטמבר,270.0
1957-06,1957,6,258.0,1951 ספטמבר,258.0
1957-07,1957,7,264.0,1951 ספטמבר,264.0
1957-08,1957,8,269.0,1951 ספטמבר,269.0
1957-09,1957,9,268.0,1951 ספטמבר,268.0
1957-10,1957,10,268.0,1951 ספטמבר,268.0
1957-11,1957,11,267.0,1951 ספטמבר,267.0
1957-12,1957,12,263.0,1951 ספטמבר,263.0
1958-01,1958,1,267.0,1951 ספטמבר,267.0
1958-02,1958,2,269.0,1951 ספטמבר,269.0
1958-03,1958,3,268.0,1951 ספטמבר,268.0
1958-04,1958,4,272.0,1951 ספטמבר,272.0
1958-05,1958,5,276.0,1951 ספטמבר,276.0
1958-06,1958,6,267.0,1951 ספטמבר,267.0
1958-07,1958,7,274.0,1951 ספטמבר,274.0
1958-08,1958,8,274.0,1951 ספטמבר,274.0
1958-09,1958,9,280.0,1951 ספטמבר,280.0
1958-10,1958,10,280.0,1951 ספטמבר,280.0
1958-11,1958,11,273.0,1951 ספטמבר,273.0
1958-12,1958,12,274.0,1951 ספטמבר,274.0
1959-01,1959,1,275.3,1951 ספטמבר,275.3
1959-02,1959,2,100.8,1959 ינואר,277.5024
1959-03,1959,3,100.9,1959 ינואר,277.7777
1959-04,1959,4,100.4,1959 ינואר,276.4012
1959-05,1959,5,104.3,1959 ינואר,287.1379
1959-06,1959,6,99.3,1959 ינואר,273.3729
1959-07,1959,7,98.0,1959 ינואר,269.794
1959-08,1959,8,97.9,1959 ינואר,269.5187
1959-09,1959,9,100.1,1959 ינואר,275.5753
1959-10,1959,10,101.9,1959 ינואר,280.5307
1959-11,1959,11,102.1,1959 ינואר,281.0813
1959-12,1959,12,101.6,1959 ינואר,279.7048
1960-01,1960,1,101.2,1959 ינואר,278.6036
1960-02,1960,2,101.4,1959 ינואר,279.1542
1960-03,1960,3,102.4,1959 ינואר,281.9072
1960-04,1960,4,101.2,1959 ינואר,278.6036
1960-05,1960,5,103.2,1959 ינואר,284.1096
1960-06,1960,6,100.8,1959 ינואר,277.5024
1960-07,1960,7,101.3,1959 ינואר,278.8789
1960-08,1960,8,101.5,1959 ינואר,279.4295
1960-09,1960,9,104.1,1959 ינואר,286.5873
1960-10,1960,10,106.2,1959 ינואר,292.3686
1960-11,1960,11,105.8,1959 ינואר,291.2674
1960-12,1960,12,105.1,1959 ינואר,289.3403
1961-01,1961,1,107.5,1959 ינואר,295.9475
1961-02,1961,2,106.6,1959 ינואר,293.4698
1961-03,1961,3,106.8,1959 ינואר,294.0204
1961-04,1961,4,106.7,1959 ינואר,293.7451
1961-05,1961,5,114.3,1959 ינואר,314.6679
1961-06,1961,6,110.4,1959 ינואר,303.9312
1961-07,1961,7,108.0,1959 ינואר,297.324
1961-08,1961,8,107.1,1959 ינואר,294.8463
1961-09,1961,9,110.7,1959 ינואר,304.7571
1961-10,1961,10,112.2,1959 ינואר,308.8866
1961-11,1961,11,113.1,1959 ינואר,311.3643
1961-12,1961,12,114.6,1959 ינואר,315.4938
1962-01,1962,1,115.0,1959 ינואר,316.595
1962-02,1962,2,115.6,1959 ינואר,318.2468
1962-03,1962,3,118.2,1959 ינואר,325.4046
1962-04,1962,4,120.3,1959 ינואר,331.1859
1962-05,1962,5,119.1,1959 ינואר,327.8823
1962-06,1962,6,117.5,1959 ינואר,323.4775
1962-07,1962,7,118.5,1959 ינואר,326.2305
1962-08,1962,8,119.9,1959 ינואר,330.0847
1962-09,1962,9,122.7,1959 ינואר,337.7931
1962-10,1962,10,124.0,1959 ינואר,341.372
1962-11,1962,11,124.9,1959 ינואר,343.8497
1962-12,1962,12,126.3,1959 ינואר,347.7039
1963-01,1963,1,126.3,1959 ינואר,347.7039
1963-02,1963,2,126.3,1959 ינואר,347.7039
1963-03,1963,3,126.3,1959 ינואר,347.7039
1963-04,1963,4,124.9,1959 ינואר,343.8497
1963-05,1963,5,129.0,1959 ינואר,355.137
1963-06,1963,6,127.9,1959 ינואר,352.1087
1963-07,1963,7,128.0,1959 ינואר,352.384
1963-08,1963,8,125.9,1959 ינואר,346.6027
1963-09,1963,9,128.4,1959 ינואר,353.4852
1963-10,1963,10,129.4,1959 ינואר,356.2382
1963-11,1963,11,131.9,1959 ינואר,363.1207
1963-12,1963,12,132.6,1959 ינואר,365.0478
1964-01,1964,1,133.6,1959 ינואר,367.8008
1964-02,1964,2,133.6,1959 ינואר,367.8008
1964-03,1964,3,133.4,1959 ינואר,367.2502
1964-04,1964,4,132.2,1959 ינואר,363.9466
1964-05,1964,5,136.7,1959 ינואר,376.3351
1964-06,1964,6,132.9,1959 ינואר,365.8737
1964-07,1964,7,134.7,1959 ינואר,370.8291
1964-08,1964,8,133.4,1959 ינואר,367.2502
1964-09,1964,9,134.4,1959 ינואר,370.0032
1964-10,1964,10,135.9,1959 ינואר,374.1327
1964-11,1964,11,137.1,1959 ינואר,377.4363
1964-12,1964,12,138.5,1959 ינואר,381.2905
1965-01,1965,1,103.7,1964 ממוצע,384.5497767
1965-02,1965,2,104.2,1964 ממוצע,386.4039222
1965-03,1965,3,106.3,1964 ממוצע,394.1913333
1965-04,1965,4,107.2,1964 ממוצע,397.5287952
1965-05,1965,5,109.4,1964 ממוצע,405.6870354
1965-06,1965,6,108.9,1964 ממוצע,403.8328899
1965-07,1965,7,108.1,1964 ממוצע,400.8662571
1965-08,1965,8,106.9,1964 ממוצע,396.4163079
1965-09,1965,9,108.3,1964 ממוצע,401.6079153
1965-10,1965,10,109.4,1964 ממוצע,405.6870354
1965-11,1965,11,110.0,1964 ממוצע,407.91201
1965-12,1965,12,110.1,1964 ממוצע,408.2828391
1966-01,1966,1,111.5,1964 ממוצע,413.4744465
1966-02,1966,2,112.7,1964 ממוצע,417.9243957
1966-03,1966,3,114.6,1964 ממוצע,424.9701486
1966-04,1966,4,116.7,1964 ממוצע,432.7575597
1966-05,1966,5,117.2,1964 ממוצע,434.6117052
1966-06,1966,6,116.8,1964 ממוצע,433.1283888
1966-07,1966,7,117.1,1964 ממוצע,434.2408761
1966-08,1966,8,115.8,1964 ממוצע,429.4200978
1966-09,1966,9,117.5,1964 ממוצע,435.7241925
1966-10,1966,10,118.5,1964 ממוצע,439.4324835
1966-11,1966,11,117.9,1964 ממוצע,437.2075089
1966-12,1966,12,118.7,1964 ממוצע,440.1741417
1967-01,1967,1,118.6,1964 ממוצע,439.8033126
1967-02,1967,2,117.5,1964 ממוצע,435.7241925
1967-03,1967,3,118.0,1964 ממוצע,437.578338
1967-04,1967,4,119.8,1964 ממוצע,444.2532618
1967-05,1967,5,120.1,1964 ממוצע,445.3657491
1967-06,1967,6,118.8,1964 ממוצע,440.5449708
1967-07,1967,7,117.9,1964 ממוצע,437.2075089
1967-08,1967,8,116.8,1964 ממוצע,433.1283888
1967-09,1967,9,116.7,1964 ממוצע,432.7575597
1967-10,1967,10,117.6,1964 ממוצע,436.0950216
1967-11,1967,11,118.1,1964 ממוצע,437.9491671
1967-12,1967,12,118.9,1964 ממוצע,440.9157999
1968-01,1968,1,120.0,1964 ממוצע,444.99492
1968-02,1968,2,119.9,1964 ממוצע,444.6240909
1968-03,1968,3,120.8,1964 ממוצע,447.9615528
1968-04,1968,4,121.9,1964 ממוצע,452.0406729
1968-05,1968,5,121.7,1964 ממוצע,451.2990147
1968-06,1968,6,120.4,1964 ממוצע,446.4782364
1968-07,1968,7,120.8,1964 ממוצע,447.9615528
1968-08,1968,8,119.7,1964 ממוצע,443.8824327
1968-09,1968,9,120.2,1964 ממוצע,445.7365782
1968-10,1968,10,121.0,1964 ממוצע,448.703211
1968-11,1968,11,120.7,1964 ממוצע,447.5907237
1968-12,1968,12,121.2,1964 ממוצע,449.4448692
1969-01,1969,1,121.8,1964 ממוצע,451.6698438
1969-02,1969,2,121.5,1964 ממוצע,450.5573565
1969-03,1969,3,123.2,1964 ממוצע,456.8614512
1969-04,1969,4,124.0,1964 ממוצע,459.828084
1969-05,1969,5,123.3,1964 ממוצע,457.2322803
1969-06,1969,6,124.5,1964 ממוצע,461.6822295
