date,rate
1962-02-10,0.00067536
1967-11-19,0.000392
1971-08-22,0.0004767
1974-11-10,0.00078018
1975-06-18,0.00080998
1975-08-05,0.00080103
1975-09-09,0.00080521
1975-09-28,0.00087423
1975-11-24,0.00089204
1976-01-04,0.00090218
1976-02-11,0.0009253
1976-03-15,0.00092977
1976-04-19,0.00094134
1976-05-20,0.00095724
1976-06-24,0.00097584
1976-07-19,0.00099779
1976-08-25,0.00102187
1976-09-29,0.00103902
1976-11-01,0.00105197
1976-11-24,0.00107039
1976-12-24,0.00095314
1977-01-17,0.0009718
1977-03-02,0.0010006
1977-03-21,0.00101985
1977-05-25,0.0010388
1977-07-04,0.00106683
1977-07-18,0.00108511
1977-08-01,0.00110456
1977-08-17,0.00111169
1977-09-20,0.00113659
1977-10-17,0.00116267
1977-10-31,0.0017133
1977-11-01,0.0017203
1977-11-02,0.0017209
1977-11-03,0.0017154
1977-11-04,0.0017122
1977-11-07,0.0017124
1977-11-08,0.0017096
1977-11-09,0.001716
1977-11-10,0.0017162
1977-11-11,0.001716
1977-11-14,0.0017104
1977-11-15,0.0017137
1977-11-16,0.0017128
1977-11-17,0.0017178
1977-11-18,0.0017162
1977-11-21,0.0017213
1977-11-22,0.0017247
1977-11-23,0.0017234
1977-11-24,0.001724
1977-11-25,0.0017257
1977-11-28,0.001731
1977-11-29,0.0017315
1977-11-30,0.001725
1977-12-01,0.0017248
1977-12-02,0.0017263
1977-12-05,0.0017266
1977-12-06,0.0017344
1977-12-07,0.001733
1977-12-08,0.0017328
1977-12-09,0.0017329
1977-12-12,0.0017315
1977-12-13,0.0017331
1977-12-14,0.0017446
1977-12-15,0.0017409
1977-12-16,0.001741
1977-12-19,0.0017367
1977-12-20,0.001744
1977-12-21,0.0017426
1977-12-22,0.0017443
1977-12-23,0.0017381
1977-12-27,0.0017432
1977-12-28,0.001745
1977-12-29,0.0017579
1977-12-30,0.0017585
1978-01-03,0.0017611
1978-01-04,0.0017767
1978-01-05,0.0017652
1978-01-06,0.0017672
1978-01-09,0.0017705
1978-01-10,0.0017772
1978-01-11,0.0017868
1978-01-12,0.0017889
1978-01-13,0.0017888
1978-01-16,0.0017912
1978-01-17,0.0017987
1978-01-18,0.0018015
1978-01-19,0.001803
1978-01-20,0.0018064
1978-01-23,0.0018072
1978-01-24,0.0018153
1978-01-25,0.0018225
1978-01-26,0.0018242
1978-01-27,0.0018249
1978-01-31,0.0018247
1978-02-01,0.0018251
1978-02-02,0.0018225
1978-02-03,0.0018222
1978-02-06,0.0018205
1978-02-07,0.0018201
1978-02-08,0.00182
1978-02-09,0.0018167
1978-02-10,0.0018168
1978-02-13,0.0018184
1978-02-14,0.0018186
1978-02-15,0.0018194
1978-02-16,0.0018159
1978-02-17,0.0018166
1978-02-20,0.001825
1978-02-21,0.001831
1978-02-22,0.00183
1978-02-23,0.0018333
