date,rate
1962-02-10,0.00028605
1967-11-19,0.00032602
1971-08-22,0.00041487
1974-11-10,0.00060521
1975-06-18,0.00059394
1975-08-05,0.00060228
1975-09-09,0.00061628
1975-09-28,0.00068019
1975-11-24,0.00069779
1976-01-04,0.00070945
1976-02-11,0.00073778
1976-03-15,0.00075937
1976-04-19,0.00077413
1976-05-20,0.00079842
1976-06-24,0.00082298
1976-07-19,0.000831
1976-08-25,0.00083165
1976-09-29,0.00086421
1976-11-01,0.00088286
1976-11-24,0.00087564
1976-12-24,0.00086598
1977-01-17,0.00088751
1977-03-02,0.00087276
1977-03-21,0.00088154
1977-05-25,0.00089603
1977-07-04,0.0009022
1977-07-18,0.00091322
1977-08-01,0.00091886
1977-08-17,0.0009382
1977-09-20,0.00095866
1977-10-17,0.00093701
1977-10-31,0.0013757
1977-11-01,0.0013764
1977-11-02,0.0013761
1977-11-03,0.0013718
1977-11-04,0.0013712
1977-11-07,0.0013726
1977-11-08,0.0013709
1977-11-09,0.001372
1977-11-10,0.0013703
1977-11-14,0.0013714
1977-11-15,0.0013698
1977-11-16,0.0013717
1977-11-17,0.0013725
1977-11-18,0.0013722
1977-11-21,0.0013755
1977-11-22,0.0013768
1977-11-23,0.0013743
1977-11-24,0.0013765
1977-11-25,0.0013777
1977-11-28,0.0013798
1977-11-29,0.0013796
1977-11-30,0.0013816
1977-12-01,0.00138
1977-12-02,0.0013804
1977-12-05,0.0013811
1977-12-06,0.0013859
1977-12-07,0.0013925
1977-12-08,0.0013955
1977-12-09,0.0014016
1977-12-12,0.0013983
1977-12-13,0.0013956
1977-12-14,0.0013929
1977-12-15,0.0013965
1977-12-16,0.0013946
1977-12-19,0.0013969
1977-12-20,0.0014045
1977-12-21,0.0014013
1977-12-22,0.0013992
1977-12-23,0.0014004
1977-12-28,0.0014027
1977-12-29,0.0014045
1977-12-30,0.0014056
1978-01-03,0.0014118
1978-01-04,0.001416
1978-01-05,0.0014113
1978-01-06,0.0014168
1978-01-09,0.0014187
1978-01-10,0.0014226
1978-01-11,0.0014278
1978-01-12,0.0014284
1978-01-13,0.0014306
1978-01-16,0.0014337
1978-01-17,0.0014379
1978-01-18,0.0014401
1978-01-19,0.0014408
1978-01-20,0.0014356
1978-01-23,0.0014394
1978-01-24,0.0014469
1978-01-25,0.0014472
1978-01-26,0.0014427
1978-01-27,0.0014453
1978-01-30,0.0014479
1978-01-31,0.0014474
1978-02-01,0.0014468
1978-02-02,0.0014395
1978-02-03,0.0014426
1978-02-06,0.0014434
1978-02-07,0.0014388
1978-02-08,0.0014407
1978-02-09,0.0014415
1978-02-10,0.0014409
1978-02-13,0.0014399
1978-02-14,0.0014406
1978-02-15,0.0014363
1978-02-16,0.0014342
1978-02-17,0.0014313
1978-02-20,0.0014314
1978-02-21,0.0014313
1978-02-22,0.001443
1978-02-23,0.0014472
1978-02-24,0.0014483
1978-02-27,0.0014556
1978-02-28,0.0014594
1978-03-01,0.001465
1978-03-02,0.0014647
1978-03-03,0.0014631
1978-03-06,0.0014607
1978-03-07,0.0014567
1978-03-09,0.0014537
1978-03-10,0.0014578
1978-03-13,0.0014589
1978-03-14,0.00146
1978-03-15,0.0014658
1978-03-16,0.0014699
1978-03-17,0.0014677
1978-03-20,0.0014701
1978-03-21,0.0014693
1978-03-22,0.0014644
1978-03-23,0.0014649
1978-03-27,0.001459
1978-03-28,0.0014519
1978-03-29,0.001447
1978-03-30,0.0014494
1978-03-31,0.0014508
1978-04-03,0.0014468
1978-04-04,0.0014479
1978-04-05,0.0014406
1978-04-06,0.0014478
1978-04-07,0.0014487
1978-04-10,0.0014401
1978-04-11,0.0014397
1978-04-12,0.0014394
1978-04-13,0.001432
1978-04-14,0.001434
1978-04-17,0.0014397
1978-04-18,0.0014477
1978-04-19,0.0014443
1978-04-20,0.001442
1978-04-21,0.0014534
1978-04-24,0.0014545
1978-04-25,0.0014644
1978-04-26,0.0014774
1978-04-27,0.001479
1978-05-01,0.0014824
1978-05-02,0.0014884
1978-05-03,0.0014832
1978-05-04,0.0014875
1978-05-05,0.0014858
1978-05-08,0.001484
1978-05-09,0.0014897
1978-05-10,0.0014967
1978-05-12,0.0015081
1978-05-15,0.0015168
1978-05-16,0.0015252
1978-05-17,0.0015348
1978-05-18,0.0015331
1978-05-19,0.0015313
1978-05-23,0.001543
1978-05-24,0.0015457
1978-05-25,0.0015462
1978-05-26,0.001551
1978-05-29,0.0015563
1978-05-30,0.0015574
1978-05-31,0.0015587
1978-06-01,0.0015564
1978-06-02,0.0015606
1978-06-05,0.0015578
1978-06-06,0.0015615
1978-06-07,0.0015557
1978-06-08,0.0015555
1978-06-09,0.0015559
1978-06-12,0.0015565
1978-06-13,0.0015522
1978-06-14,0.0015548
1978-06-15,0.001556
1978-06-16,0.0015606
1978-06-19,0.0015571
1978-06-20,0.0015557
1978-06-21,0.0015572
1978-06-22,0.0015573
1978-06-23,0.0015659
1978-06-26,0.0015675
1978-06-27,0.0015694
1978-06-28,0.0015763
1978-06-29,0.0015819
1978-06-30,0.0015871
1978-07-04,0.0015923
1978-07-05,0.0015885
1978-07-06,0.0015848
1978-07-07,0.0015797
1978-07-10,0.0015787
1978-07-11,0.0015829
1978-07-12,0.0015836
1978-07-13,0.0015855
1978-07-14,0.0015881
1978-07-17,0.0015944
1978-07-18,0.0015981
1978-07-19,0.0016033
1978-07-20,0.0016244
1978-07-21,0.0016088
1978-07-24,0.0016073
1978-07-25,0.0016085
1978-07-26,0.0016121
1978-07-27,0.0016115
1978-07-28,0.0016082
1978-07-31,0.001605
1978-08-01,0.001601
1978-08-02,0.0015976
1978-08-03,0.0015925
1978-08-04,0.0015983
1978-08-07,0.0015961
1978-08-08,0.0015955
1978-08-09,0.0016015
1978-08-10,0.0016036
1978-08-11,0.001603
1978-08-14,0.0016001
1978-08-15,0.0015959
1978-08-16,0.0015982
1978-08-17,0.0015983
1978-08-18,0.0016023
1978-08-21,0.0016046
1978-08-22,0.0016045
1978-08-23,0.0016063
1978-08-24,0.001605
1978-08-25,0.0016033
1978-08-28,0.0015942
1978-08-29,0.0015949
1978-08-30,0.0015976
1978-08-31,0.0015951
1978-09-01,0.0015945
1978-09-05,0.0015952
1978-09-06,0.0015882
1978-09-07,0.001582
1978-09-08,0.0015778
1978-09-11,0.0015768
1978-09-12,0.001576
1978-09-13,0.0015747
1978-09-14,0.0015816
1978-09-15,0.0015905
1978-09-18,0.0015887
1978-09-19,0.0015832
1978-09-20,0.0015836
1978-09-21,0.0015801
1978-09-22,0.0015712
1978-09-25,0.0015646
1978-09-26,0.0015589
1978-09-27,0.0015474
1978-09-28,0.0015438
1978-09-29,0.0015591
1978-10-04,0.0015385
1978-10-05,0.0015417
1978-10-06,0.0015492
1978-10-10,0.0015523
1978-10-12,0.001538
1978-10-13,0.0015444
1978-10-17,0.0015386
1978-10-18,0.0015517
1978-10-19,0.0015519
1978-10-20,0.0015497
1978-10-24,0.001558
1978-10-25,0.0015596
1978-10-26,0.0015603
1978-10-27,0.001565
1978-10-30,0.0015742
1978-10-31,0.0015873
1978-11-01,0.0015917
1978-11-02,0.0015881
1978-11-03,0.0015815
1978-11-06,0.0015899
1978-11-08,0.0015875
1978-11-09,0.0015864
1978-11-10,0.0015911
1978-11-14,0.0015987
1978-11-15,0.0016003
1978-11-16,0.0015989
1978-11-17,0.0016009
1978-11-20,0.0016122
1978-11-21,0.0016127
1978-11-22,0.0016134
1978-11-23,0.001616
1978-11-24,0.0016183
1978-11-27,0.0016093
1978-11-28,0.0016111
1978-11-29,0.0016086
1978-11-30,0.0016066
1978-12-01,0.0016046
1978-12-04,0.0016022
1978-12-05,0.0015956
1978-12-06,0.0015922
1978-12-07,0.0015902
1978-12-08,0.0015877
1978-12-11,0.0015833
1978-12-12,0.0015863
1978-12-13,0.001584
1978-12-14,0.0015798
