date,rate
1962-02-10,0.00006939
1967-11-19,0.00008107
1971-08-22,0.00010332
1974-11-10,0.00021409
1975-06-18,0.00024564
1975-08-05,0.00023081
1975-09-09,0.0002356
1975-09-28,0.0002528
1975-11-24,0.0002654
1976-01-04,0.00027476
1976-02-11,0.0002871
1976-03-15,0.00028918
1976-04-19,0.00030239
1976-05-20,0.00031349
1976-06-24,0.00031989
1976-07-19,0.00032624
1976-08-25,0.00033178
1976-09-29,0.00034039
1976-11-01,0.00035258
1976-11-24,0.00035674
1976-12-24,0.00035837
1977-01-17,0.00035913
1977-03-02,0.00035648
1977-03-21,0.00036434
1977-05-25,0.00037418
1977-07-04,0.000391
1977-07-18,0.0004017
1977-08-01,0.00041011
1977-08-17,0.00041489
1977-09-20,0.00043347
1977-10-17,0.0004576
1977-10-31,0.0006832
1977-11-01,0.0006875
1977-11-02,0.0006859
1977-11-03,0.0006865
1977-11-04,0.0006834
1977-11-07,0.0006867
1977-11-08,0.0006828
1977-11-09,0.0006874
1977-11-10,0.0006857
1977-11-11,0.0006886
1977-11-14,0.000689
1977-11-15,0.0006874
1977-11-16,0.0006904
1977-11-17,0.0006909
1977-11-18,0.0006899
1977-11-21,0.0006951
1977-11-22,0.0006947
1977-11-23,0.0006959
1977-11-24,0.0007023
1977-11-25,0.0007058
1977-11-28,0.0007097
1977-11-29,0.0007114
1977-11-30,0.0007081
1977-12-01,0.0007117
1977-12-02,0.0007148
1977-12-05,0.0007195
1977-12-06,0.0007258
1977-12-07,0.0007237
1977-12-08,0.0007197
1977-12-09,0.0007162
1977-12-12,0.0007182
1977-12-13,0.0007261
1977-12-14,0.0007368
1977-12-15,0.0007408
1977-12-16,0.0007399
1977-12-19,0.0007467
1977-12-20,0.0007602
1977-12-21,0.000756
1977-12-22,0.0007545
1977-12-23,0.0007491
1977-12-27,0.0007478
1977-12-28,0.0007571
1977-12-29,0.0007653
1977-12-30,0.0007665
1978-01-03,0.0007872
1978-01-04,0.0008098
1978-01-05,0.0007602
1978-01-06,0.0007587
1978-01-09,0.0007646
1978-01-10,0.000776
1978-01-11,0.0007953
1978-01-12,0.0008052
1978-01-13,0.0007956
1978-01-16,0.0007983
1978-01-17,0.0007971
1978-01-18,0.0007894
1978-01-19,0.0007891
1978-01-20,0.0007915
1978-01-23,0.000793
1978-01-24,0.000806
1978-01-25,0.0008101
1978-01-26,0.0008098
1978-01-27,0.0008085
1978-01-30,0.0008083
1978-01-31,0.0008085
1978-02-01,0.0008091
1978-02-02,0.0008065
1978-02-03,0.0008132
1978-02-06,0.0008148
1978-02-07,0.0008166
1978-02-08,0.0008185
1978-02-09,0.0008155
1978-02-10,0.0008178
1978-02-13,0.0008254
1978-02-14,0.0008369
1978-02-15,0.0008358
1978-02-16,0.0008372
1978-02-17,0.0008482
1978-02-20,0.000865
1978-02-21,0.0008803
1978-02-22,0.0008809
1978-02-23,0.0008919
1978-02-24,0.0009027
1978-02-27,0.0008856
1978-02-28,0.0008686
1978-03-01,0.0009137
1978-03-02,0.000888
1978-03-03,0.0008838
