date,rate
1962-02-10,0.0008442
1967-11-19,0.0008463
1971-08-22,0.00101576
1974-11-10,0.0013977
1975-06-18,0.00137553
1975-08-05,0.00132694
1975-09-09,0.0013321
1975-09-28,0.00142065
1975-11-24,0.00143895
1976-01-04,0.00145625
1976-02-11,0.00148744
1976-03-15,0.00143707
1976-04-19,0.00141358
1976-05-20,0.00140071
1976-06-24,0.0014055
1976-07-19,0.00143359
1976-08-25,0.00145176
1976-09-29,0.00139425
1976-11-01,0.00136862
1976-11-24,0.00143472
1976-12-24,0.0014815
1977-01-17,0.00153383
1977-03-02,0.00156067
1977-03-21,0.00159205
1977-05-25,0.0016143
1977-07-04,0.00164368
1977-07-18,0.00166356
1977-08-01,0.00171428
1977-08-17,0.00175751
1977-09-20,0.00179261
1977-10-17,0.00183451
1977-10-31,0.0027907
1977-11-01,0.0028296
1977-11-02,0.0027958
1977-11-03,0.0027873
1977-11-04,0.0027424
1977-11-07,0.0027546
1977-11-08,0.0027484
1977-11-09,0.0027666
1977-11-10,0.0027514
1977-11-11,0.0027751
1977-11-14,0.0027665
1977-11-15,0.0027646
1977-11-16,0.0027633
1977-11-17,0.0027736
1977-11-18,0.0027728
1977-11-21,0.0027936
1977-11-22,0.0027648
1977-11-23,0.0027718
1977-11-24,0.0027805
1977-11-25,0.0027725
1977-11-28,0.0027804
1977-11-29,0.0027828
1977-11-30,0.0027777
1977-12-01,0.0027803
1977-12-02,0.0027802
1977-12-05,0.0028014
1977-12-06,0.0028155
1977-12-07,0.0027966
1977-12-08,0.0027963
1977-12-09,0.0027972
1977-12-12,0.0028065
1977-12-13,0.0028089
1977-12-14,0.0028304
1977-12-15,0.0028314
1977-12-16,0.0028323
1977-12-19,0.0028504
1977-12-20,0.0028917
1977-12-21,0.0028914
1977-12-22,0.002876
1977-12-23,0.0028524
1977-12-28,0.0029119
1977-12-29,0.0029406
1977-12-30,0.0029376
1978-01-03,0.0030088
1978-01-04,0.0030714
1978-01-05,0.0029403
1978-01-06,0.0029506
1978-01-09,0.0029897
1978-01-10,0.0030017
1978-01-11,0.0030227
1978-01-12,0.0030563
1978-01-13,0.0030316
1978-01-16,0.0030417
1978-01-17,0.003045
1978-01-18,0.003042
1978-01-19,0.0030486
1978-01-20,0.003072
1978-01-23,0.0030802
1978-01-24,0.0031049
1978-01-25,0.0031135
1978-01-26,0.0031163
1978-01-27,0.0031195
1978-01-30,0.003119
1978-01-31,0.003123
1978-02-01,0.0031231
1978-02-02,0.0031202
1978-02-03,0.0031084
1978-02-06,0.0030941
1978-02-07,0.0030948
1978-02-08,0.0030882
1978-02-09,0.0030921
1978-02-10,0.0030938
1978-02-13,0.0031079
1978-02-14,0.0031119
1978-02-15,0.0030876
1978-02-16,0.0030988
1978-02-17,0.0031088
1978-02-20,0.0031313
1978-02-21,0.0031316
1978-02-22,0.003128
1978-02-23,0.0031371
1978-02-24,0.0031526
1978-02-27,0.0031451
1978-02-28,0.0031452
1978-03-01,0.0031747
1978-03-02,0.0031723
1978-03-03,0.0031745
1978-03-06,0.0031771
1978-03-07,0.0031597
1978-03-09,0.0031504
1978-03-10,0.0031421
1978-03-13,0.0030906
1978-03-14,0.0031209
1978-03-15,0.0031427
1978-03-16,0.0031546
1978-03-17,0.0031709
1978-03-20,0.0031529
1978-03-21,0.0031404
1978-03-22,0.0031327
1978-03-23,0.0031196
1978-03-28,0.0030833
1978-03-29,0.0031
1978-03-30,0.0030802
1978-03-31,0.0030498
1978-04-03,0.0030762
1978-04-04,0.0030628
1978-04-05,0.0030669
1978-04-06,0.0030915
1978-04-07,0.0030865
1978-04-10,0.0030877
1978-04-11,0.0030895
1978-04-12,0.0030957
1978-04-13,0.0030832
1978-04-14,0.0030742
1978-04-17,0.0030571
1978-04-18,0.0030492
1978-04-19,0.0030512
1978-04-20,0.0030356
1978-04-21,0.0030401
1978-04-24,0.0030338
1978-04-25,0.0030304
1978-04-26,0.0030347
1978-04-27,0.0030432
1978-05-02,0.0030604
1978-05-03,0.0030639
1978-05-04,0.0030594
1978-05-05,0.003067
1978-05-08,0.0030433
1978-05-09,0.0030342
1978-05-10,0.0030423
1978-05-12,0.0030616
1978-05-15,0.0030705
1978-05-16,0.0030812
1978-05-17,0.0030818
1978-05-18,0.0030875
1978-05-19,0.003088
1978-05-22,0.0030892
1978-05-23,0.0031109
1978-05-24,0.0031179
1978-05-25,0.0031257
1978-05-26,0.0031315
1978-05-30,0.0031689
1978-05-31,0.0031804
1978-06-01,0.0031969
1978-06-02,0.0031781
1978-06-05,0.0031724
1978-06-06,0.0031734
1978-06-07,0.0031737
1978-06-08,0.0031753
1978-06-09,0.0031825
1978-06-12,0.0031897
1978-06-13,0.0032076
1978-06-14,0.0032003
1978-06-15,0.0031873
1978-06-16,0.0031908
1978-06-19,0.003196
1978-06-20,0.0032044
1978-06-21,0.0032292
1978-06-22,0.003235
1978-06-23,0.0032436
1978-06-26,0.0032589
1978-06-27,0.0032652
1978-06-28,0.0032867
1978-06-29,0.0033002
1978-06-30,0.0033268
1978-07-03,0.0033268
1978-07-04,0.0033434
1978-07-05,0.0033357
1978-07-06,0.0033265
1978-07-07,0.0033184
1978-07-10,0.0033585
1978-07-11,0.0033541
1978-07-12,0.0033393
1978-07-13,0.0033744
1978-07-14,0.0033769
1978-07-17,0.0033753
1978-07-18,0.0033887
1978-07-19,0.0034026
1978-07-20,0.0034203
1978-07-21,0.0034428
1978-07-24,0.0034909
1978-07-25,0.0034918
1978-07-26,0.003484
1978-07-27,0.0034601
1978-07-28,0.003473
1978-07-31,0.0035104
1978-08-01,0.0035192
1978-08-02,0.0034967
1978-08-03,0.0034942
1978-08-04,0.003503
1978-08-07,0.0035071
1978-08-08,0.0035134
1978-08-09,0.0035355
1978-08-10,0.0035449
1978-08-11,0.0035712
1978-08-14,0.0035926
1978-08-15,0.0036373
1978-08-16,0.0036071
1978-08-17,0.0035588
1978-08-18,0.0035701
1978-08-21,0.0035307
1978-08-22,0.0035414
1978-08-23,0.0035029
1978-08-24,0.0035161
1978-08-25,0.0035161
1978-08-28,0.0035152
1978-08-29,0.0035093
1978-08-30,0.0035752
1978-08-31,0.0035634
1978-09-01,0.0035668
1978-09-04,0.0035844
1978-09-05,0.003568
1978-09-06,0.0035462
1978-09-07,0.003536
1978-09-08,0.0035324
1978-09-11,0.0035285
1978-09-12,0.0035548
1978-09-13,0.0035616
1978-09-14,0.0036017
1978-09-15,0.0036139
1978-09-18,0.0036111
1978-09-19,0.0036248
1978-09-20,0.0036611
1978-09-21,0.0036733
1978-09-22,0.0036241
1978-09-25,0.0036182
1978-09-26,0.0036299
1978-09-27,0.0036052
1978-09-28,0.0035885
1978-09-29,0.0036126
1978-10-04,0.0036217
1978-10-05,0.0036218
1978-10-06,0.003618
1978-10-09,0.0036191
1978-10-10,0.003618
1978-10-12,0.0036542
1978-10-13,0.003633
1978-10-17,0.0036483
1978-10-18,0.0036511
1978-10-19,0.0036588
1978-10-20,0.0036762
1978-10-24,0.0037058
1978-10-25,0.0037422
1978-10-26,0.0038013
1978-10-27,0.0038337
1978-10-30,0.0038663
1978-10-31,0.0038748
1978-11-01,0.0037943
1978-11-02,0.0036721
1978-11-03,0.0036741
1978-11-06,0.0036417
1978-11-08,0.0036577
1978-11-09,0.003684
1978-11-10,0.0036693
1978-11-13,0.0036792
1978-11-14,0.0036853
1978-11-15,0.0036999
1978-11-16,0.0036944
1978-11-17,0.0036859
1978-11-20,0.0036341
1978-11-21,0.0036799
1978-11-22,0.0036848
1978-11-23,0.0036991
1978-11-24,0.003678
1978-11-27,0.003664
1978-11-28,0.0036778
1978-11-29,0.0036759
1978-11-30,0.0036785
1978-12-01,0.0036357
1978-12-04,0.003635
1978-12-05,0.0036381
1978-12-06,0.0036413
1978-12-07,0.0036446
1978-12-08,0.0036438
1978-12-11,0.0036746
1978-12-12,0.0037138
1978-12-13,0.0036781
1978-12-14,0.0036683
1978-12-15,0.0036969
1978-12-18,0.0037382
1978-12-19,0.0037358
1978-12-20,0.0037826
1978-12-21,0.0037686
1978-12-22,0.0037579
1978-12-27,0.0038533
1978-12-28,0.0038709
1978-12-29,0.0038658
1979-01-02,0.0038964
1979-01-03,0.0038514
1979-01-04,0.0038302
1979-01-05,0.0038335
1979-01-08,0.0038355
1979-01-09,0.0037981
1979-01-10,0.0037669
1979-01-11,0.0037359
1979-01-12,0.0037179
1979-01-15,0.0037396
1979-01-16,0.0037887
1979-01-17,0.003833
1979-01-18,0.0038472
1979-01-19,0.0038398
1979-01-22,0.0038305
1979-01-23,0.0038274
1979-01-24,0.0038226
1979-01-25,0.0038162
1979-01-26,0.0037995
1979-01-29,0.0038083
1979-01-30,0.0038219
1979-01-31,0.0038163
1979-02-01,0.0037828
1979-02-02,0.0037958
1979-02-05,0.0038532
1979-02-06,0.003872
1979-02-07,0.0038768
1979-02-08,0.0038514
1979-02-09,0.0038246
1979-02-12,0.0038952
1979-02-13,0.003922
1979-02-14,0.0039334
1979-02-15,0.0039589
1979-02-16,0.0039435
1979-02-19,0.0039433
1979-02-20,0.0039589
1979-02-21,0.0039615
1979-02-22,0.0039616
1979-02-23,0.0039625
1979-02-26,0.003957
1979-02-27,0.003921
1979-02-28,0.0038926
1979-03-01,0.0039251
1979-03-02,0.003893
1979-03-05,0.0038852
1979-03-06,0.0039012
1979-03-07,0.0039288
1979-03-08,0.0039972
1979-03-09,0.004039
1979-03-12,0.0040754
1979-03-13,0.0041064
1979-03-15,0.0041067
1979-03-16,0.0041412
1979-03-19,0.0041511
1979-03-20,0.0041778
1979-03-21,0.004211
1979-03-22,0.0042249
1979-03-23,0.0042437
1979-03-26,0.0042796
1979-03-27,0.0043448
1979-03-28,0.0043548
1979-03-29,0.004376
1979-03-30,0.0044154
1979-04-02,0.0044266
1979-04-03,0.0044397
1979-04-04,0.0044413
1979-04-05,0.0044527
1979-04-06,0.0045083
1979-04-09,0.0045284
1979-04-10,0.0045803
1979-04-11,0.0046057
1979-04-17,0.0046197
1979-04-19,0.004608
1979-04-20,0.0046155
1979-04-23,0.0046171
1979-04-24,0.0046232
1979-04-25,0.0046111
1979-04-26,0.0046088
1979-04-27,0.0046212
1979-04-30,0.0046604
1979-05-01,0.004682
1979-05-03,0.0047407
1979-05-04,0.004737
1979-05-08,0.0047703
1979-05-09,0.0047686
1979-05-10,0.004757
1979-05-11,0.0047782
1979-05-14,0.0047909
1979-05-15,0.0047942
1979-05-16,0.0048417
1979-05-17,0.0048911
1979-05-18,0.0049058
1979-05-21,0.0048983
1979-05-22,0.0049117
1979-05-23,0.0049348
1979-05-24,0.0049888
1979-05-25,0.0049813
1979-05-29,0.0049925
1979-05-30,0.0050024
1979-05-31,0.0049868
1979-06-04,0.0050129
1979-06-05,0.0050106
1979-06-06,0.0049932
1979-06-07,0.0049715
1979-06-08,0.0049776
1979-06-11,0.0050051
1979-06-12,0.0050579
1979-06-13,0.0051251
1979-06-14,0.0051677
1979-06-15,0.0051732
1979-06-18,0.0052173
1979-06-19,0.0052409
1979-06-20,0.0053133
1979-06-21,0.0053546
1979-06-22,0.0053802
1979-06-25,0.0054424
1979-06-26,0.005483
1979-06-27,0.0054632
1979-06-28,0.0054934
1979-06-29,0.0054686
1979-07-02,0.0055119
1979-07-03,0.0055038
1979-07-04,0.0056107
1979-07-05,0.0056715
1979-07-06,0.0056579
1979-07-09,0.0055963
1979-07-10,0.0056453
1979-07-11,0.0057071
1979-07-12,0.0057077
1979-07-13,0.0057131
1979-07-16,0.0057239
1979-07-17,0.0058095
1979-07-18,0.0059114
1979-07-19,0.0058827
1979-07-20,0.0059156
1979-07-23,0.0059142
1979-07-24,0.0060079
1979-07-25,0.0059961
1979-07-26,0.0060087
1979-07-27,0.0059974
1979-07-30,0.0060089
1979-07-31,0.0059056
1979-08-01,0.0058231
1979-08-03,0.0058825
1979-08-06,0.0058781
1979-08-07,0.0058064
1979-08-08,0.0057682
1979-08-09,0.0057914
1979-08-10,0.0058718
1979-08-13,0.0059507
1979-08-14,0.005888
