date,rate
1974-11-10,0.000198741
1975-06-18,0.000207282
1975-08-05,0.000207965
1975-09-09,0.000211964
1975-09-28,0.000230339
1975-11-24,0.000229433
1976-01-04,0.000235639
1976-02-11,0.000244088
1976-03-15,0.00024839
1976-04-19,0.000254496
1976-05-20,0.000259585
1976-06-24,0.000266778
1976-07-19,0.000274649
1976-08-25,0.000284134
1976-09-29,0.000292069
1976-11-01,0.000291498
1976-11-24,0.000294198
1976-12-24,0.000299185
1977-01-17,0.000306945
1977-03-02,0.000323618
1977-03-21,0.0003321
1977-05-25,0.000339107
1977-07-04,0.000359216
1977-07-18,0.000365984
1977-08-01,0.000369523
1977-08-17,0.00037892
1977-09-20,0.000385629
1977-10-17,0.000410476
1977-10-31,0.00061048
1977-11-01,0.00061884
1977-11-02,0.00061514
1977-11-04,0.00061259
1977-11-07,0.00061297
1977-11-08,0.00061281
1977-11-09,0.00061662
1977-11-10,0.00061626
1977-11-11,0.0006186
1977-11-14,0.00061858
1977-11-15,0.0006207
1977-11-16,0.00062062
1977-11-17,0.00062516
1977-11-18,0.000626
1977-11-21,0.00062942
1977-11-22,0.0006341
1977-11-24,0.0006379
1977-11-25,0.00063751
1977-11-28,0.00063663
1977-11-29,0.00063275
1977-11-30,0.00062769
1977-12-01,0.00062767
1977-12-02,0.00063078
1977-12-05,0.00063224
1977-12-06,0.00063639
1977-12-07,0.00063425
1977-12-08,0.00063307
1977-12-09,0.00063167
1977-12-12,0.00063086
1977-12-13,0.00063652
1977-12-14,0.00064275
1977-12-15,0.00064232
1977-12-16,0.00063549
1977-12-19,0.00063493
1977-12-20,0.00063562
1977-12-21,0.0006371
1977-12-22,0.00063466
1977-12-23,0.00063506
1977-12-27,0.00063637
1977-12-28,0.00063927
1977-12-29,0.0006415
1977-12-30,0.00064138
1978-01-04,0.00065425
1978-01-05,0.0006409
1978-01-06,0.00064282
1978-01-09,0.0006459
1978-01-10,0.00064799
1978-01-11,0.00065257
1978-01-12,0.00065495
1978-01-13,0.00065259
1978-01-17,0.00065401
1978-01-18,0.00065396
1978-01-19,0.00065493
1978-01-20,0.0006564
1978-01-23,0.00065858
1978-01-24,0.00066158
1978-01-25,0.00066213
1978-01-26,0.00066433
1978-01-27,0.00066361
1978-01-30,0.00066285
1978-01-31,0.00066346
1978-02-01,0.00066324
1978-02-02,0.00066273
1978-02-03,0.00066163
1978-02-06,0.00066221
1978-02-07,0.00066282
1978-02-08,0.00066243
1978-02-09,0.00066234
1978-02-10,0.00066215
1978-02-13,0.00066247
1978-02-14,0.00066508
1978-02-15,0.00066591
1978-02-16,0.00066656
1978-02-17,0.00066729
1978-02-20,0.00067383
1978-02-21,0.0006756
1978-02-22,0.00067299
1978-02-23,0.00067675
1978-02-24,0.00067859
1978-02-27,0.00068131
1978-02-28,0.00068205
1978-03-01,0.00068879
1978-03-02,0.00068664
1978-03-03,0.00069025
1978-03-06,0.00069181
1978-03-07,0.00069122
1978-03-09,0.0006974
1978-03-10,0.00069568
1978-03-13,0.00069474
1978-03-14,0.00070307
1978-03-15,0.00070435
1978-03-16,0.00071181
1978-03-17,0.00071747
1978-03-20,0.00071813
1978-03-22,0.00071537
1978-03-23,0.0007175
1978-03-27,0.00072959
1978-03-28,0.00072945
1978-03-29,0.00074248
1978-03-30,0.0007383
1978-03-31,0.00073721
1978-04-03,0.00075123
1978-04-04,0.00075108
1978-04-05,0.00074902
1978-04-06,0.00075336
1978-04-07,0.00075183
1978-04-10,0.00074841
1978-04-11,0.00075143
1978-04-12,0.00075323
1978-04-13,0.00075073
1978-04-14,0.00075132
1978-04-17,0.00075001
1978-04-18,0.00074312
1978-04-19,0.00074639
1978-04-20,0.00074117
1978-04-21,0.00073746
1978-04-24,0.00072918
1978-04-25,0.0007336
1978-04-26,0.00073845
1978-04-27,0.00074756
1978-05-01,0.00074315
1978-05-02,0.00074291
1978-05-03,0.00073956
1978-05-04,0.00074224
1978-05-05,0.00074625
1978-05-08,0.00074353
1978-05-09,0.0007424
1978-05-10,0.00074469
1978-05-12,0.00074614
1978-05-15,0.0007471
1978-05-16,0.00074691
1978-05-17,0.00074656
1978-05-18,0.00074552
1978-05-19,0.00074882
1978-05-22,0.00074711
1978-05-23,0.00075025
1978-05-24,0.00075297
1978-05-25,0.00076048
1978-05-26,0.00076422
1978-05-29,0.00077311
1978-05-30,0.00078141
1978-05-31,0.00078444
1978-06-01,0.00078959
1978-06-02,0.00078781
1978-06-05,0.00079489
1978-06-06,0.00078873
1978-06-07,0.00078751
1978-06-08,0.00079013
1978-06-09,0.00078948
1978-06-12,0.0007935
