date,rate
1962-02-10,0.00004211
1967-11-19,0.00004897
1971-08-22,0.00005932
1974-11-10,0.00010901
1975-06-18,0.00012477
1975-08-05,0.00011374
1975-09-09,0.00011437
1975-09-28,0.00012352
1975-11-24,0.00012739
1976-01-04,0.00012879
1976-02-11,0.00013345
1976-03-15,0.00013409
1976-04-19,0.0001389
1976-05-20,0.00014151
1976-06-24,0.00014277
1976-07-19,0.00014468
1976-08-25,0.00014931
1976-09-29,0.00015639
1976-11-01,0.00016265
1976-11-24,0.00016644
1976-12-24,0.000169
1977-01-17,0.00016866
1977-03-02,0.00017332
1977-03-21,0.00017706
1977-05-25,0.00017845
1977-07-04,0.00017974
1977-07-18,0.00018426
1977-08-01,0.00018721
1977-08-17,0.00019155
1977-09-20,0.00018727
1977-10-17,0.00018969
1977-10-31,0.0002795
1977-11-01,0.0002798
1977-11-02,0.0002792
1977-11-03,0.0002787
1977-11-04,0.000277
1977-11-07,0.0002775
1977-11-08,0.000277
1977-11-09,0.0002778
1977-11-10,0.0002774
1977-11-11,0.0002779
1977-11-14,0.0002777
1977-11-15,0.0002781
1977-11-16,0.0002779
1977-11-17,0.0002785
1977-11-18,0.0002785
1977-11-21,0.00028
1977-11-22,0.0002799
1977-11-23,0.0002803
1977-11-24,0.0002814
1977-11-25,0.000283
1977-11-28,0.0002834
1977-11-29,0.000283
1977-11-30,0.0002835
1977-12-01,0.0002841
1977-12-02,0.0002841
1977-12-05,0.000287
1977-12-06,0.0002906
1977-12-07,0.00029
1977-12-08,0.0002881
1977-12-09,0.0002865
1977-12-12,0.0002877
1977-12-13,0.000291
1977-12-14,0.0002944
1977-12-15,0.0002934
1977-12-16,0.0002921
1977-12-19,0.0002945
1977-12-20,0.0002976
1977-12-21,0.0002973
1977-12-22,0.0002943
1977-12-23,0.0002915
1977-12-27,0.0002935
1977-12-28,0.0002978
1977-12-29,0.0003005
1977-12-30,0.0003002
1978-01-03,0.0003021
1978-01-04,0.0003086
1978-01-05,0.0002985
1978-01-06,0.0002969
1978-01-09,0.000298
1978-01-10,0.0003001
1978-01-11,0.0003055
1978-01-12,0.0003089
1978-01-13,0.0003051
1978-01-16,0.0003065
1978-01-17,0.0003065
1978-01-18,0.0003057
1978-01-19,0.0003063
1978-01-20,0.000308
1978-01-23,0.000309
1978-01-24,0.0003108
1978-01-25,0.0003113
1978-01-26,0.0003121
1978-01-27,0.0003111
1978-01-30,0.0003114
1978-01-31,0.0003123
1978-02-01,0.0003126
1978-02-02,0.0003108
1978-02-03,0.000312
1978-02-06,0.000313
1978-02-07,0.0003128
1978-02-08,0.0003123
1978-02-09,0.0003116
1978-02-10,0.0003112
1978-02-13,0.0002959
1978-02-14,0.0002957
1978-02-15,0.0002941
1978-02-16,0.0002946
1978-02-17,0.0002973
1978-02-20,0.0003007
1978-02-21,0.0003024
1978-02-22,0.000302
1978-02-23,0.0003032
1978-02-24,0.0003063
1978-02-27,0.0003054
1978-02-28,0.0003059
1978-03-01,0.0003116
1978-03-02,0.0003097
1978-03-03,0.0003096
1978-03-06,0.0003104
1978-03-07,0.0003071
1978-03-09,0.0003069
1978-03-10,0.0003047
1978-03-13,0.000301
1978-03-14,0.0003059
1978-03-15,0.0003064
1978-03-16,0.0003104
1978-03-17,0.0003121
1978-03-20,0.0003101
1978-03-21,0.0003092
1978-03-22,0.0003074
1978-03-28,0.0003099
1978-03-29,0.0003105
1978-03-30,0.0003102
1978-03-31,0.00031
1978-04-03,0.0003131
1978-04-04,0.0003091
1978-04-05,0.0003065
1978-04-06,0.0003092
1978-04-07,0.0003087
1978-04-10,0.0003098
1978-04-11,0.0003118
1978-04-12,0.0003108
1978-04-13,0.0003088
1978-04-14,0.0003088
1978-04-17,0.0003085
1978-04-18,0.0003074
1978-04-19,0.0003073
1978-04-20,0.0003063
1978-04-21,0.0003065
1978-04-24,0.0003059
1978-04-25,0.0003075
1978-04-26,0.0003075
1978-04-27,0.0003083
1978-05-02,0.00031
1978-05-03,0.0003093
1978-05-05,0.0003101
1978-05-08,0.0003082
1978-05-09,0.0003082
1978-05-10,0.0003087
1978-05-12,0.000309
1978-05-16,0.0003097
1978-05-18,0.0003116
1978-05-19,0.0003127
1978-05-22,0.0003124
1978-05-23,0.0003136
1978-05-24,0.0003143
1978-05-25,0.000315
1978-05-26,0.000316
1978-05-29,0.0003183
1978-05-30,0.0003199
1978-05-31,0.0003215
1978-06-01,0.0003227
1978-06-02,0.000323
1978-06-05,0.0003238
1978-06-06,0.0003227
1978-06-07,0.0003218
1978-06-08,0.0003218
1978-06-09,0.0003212
1978-06-12,0.0003222
1978-06-13,0.0003231
1978-06-14,0.0003231
1978-06-15,0.0003225
1978-06-16,0.0003215
1978-06-19,0.000323
1978-06-20,0.0003237
1978-06-21,0.0003251
1978-06-22,0.0003249
1978-06-23,0.0003259
1978-06-26,0.0003271
1978-06-27,0.0003274
1978-06-28,0.0003288
1978-06-29,0.0003295
1978-06-30,0.0003303
1978-07-03,0.0003318
1978-07-04,0.0003324
1978-07-05,0.0003308
1978-07-06,0.0003306
1978-07-07,0.0003264
1978-07-10,0.0003297
1978-07-11,0.0003298
1978-07-12,0.0003293
1978-07-13,0.0003306
1978-07-14,0.0003301
1978-07-17,0.0003307
1978-07-18,0.0003316
1978-07-19,0.0003327
1978-07-20,0.0003336
1978-07-21,0.0003339
1978-07-24,0.0003371
1978-07-25,0.0003371
1978-07-26,0.0003363
1978-07-27,0.0003363
1978-07-28,0.0003367
1978-07-31,0.0003392
1978-08-01,0.0003404
1978-08-02,0.0003392
1978-08-03,0.0003385
1978-08-04,0.0003404
1978-08-07,0.0003422
1978-08-08,0.0003461
1978-08-09,0.0003489
1978-08-10,0.0003474
1978-08-11,0.0003496
1978-08-14,0.0003519
1978-08-15,0.0003586
1978-08-16,0.0003541
1978-08-17,0.0003491
1978-08-18,0.0003504
1978-08-21,0.000346
1978-08-22,0.0003476
1978-08-23,0.0003441
1978-08-24,0.0003459
1978-08-25,0.0003455
1978-08-28,0.0003456
1978-08-29,0.0003449
1978-08-30,0.000352
1978-08-31,0.0003508
1978-09-01,0.0003507
1978-09-04,0.0003547
