date,rate
1962-02-10,0.00005813
1967-11-19,0.00006762
1971-08-22,0.00008144
1974-11-10,0.00013755
1975-06-18,0.00015604
1975-08-05,0.00014419
1975-09-09,0.00014456
1975-09-28,0.00015444
1975-11-24,0.00016016
1976-01-04,0.00016349
1976-02-11,0.00016811
1976-03-15,0.00016966
1976-04-19,0.00017242
1976-05-20,0.00017595
1976-06-24,0.0001781
1976-07-19,0.00018093
1976-08-25,0.00018668
1976-09-29,0.00019489
1976-11-01,0.00020378
1976-11-24,0.00020762
1976-12-24,0.00020763
1977-01-17,0.0002116
1977-03-02,0.00021615
1977-03-21,0.00022058
1977-05-25,0.00021578
1977-07-04,0.0002176
1977-07-18,0.00022255
1977-08-01,0.00022596
1977-08-17,0.0002294
1977-09-20,0.00021211
1977-10-17,0.00021692
1977-10-31,0.0003189
1977-11-01,0.0003192
1977-11-02,0.000319
1977-11-03,0.0003189
1977-11-04,0.0003165
1977-11-07,0.0003172
1977-11-08,0.0003165
1977-11-09,0.0003176
1977-11-10,0.0003172
1977-11-11,0.0003178
1977-11-14,0.0003172
1977-11-15,0.000317
1977-11-16,0.0003171
1977-11-17,0.0003177
1977-11-18,0.0003174
1977-11-21,0.0003183
1977-11-22,0.0003184
1977-11-23,0.0003183
1977-11-24,0.0003189
1977-11-25,0.000319
1977-11-28,0.0003188
1977-11-29,0.0003187
1977-11-30,0.0003185
1977-12-01,0.0003186
1977-12-02,0.0003187
1977-12-05,0.0003201
1977-12-06,0.0003218
1977-12-07,0.0003212
1977-12-08,0.0003203
1977-12-09,0.0003187
1977-12-12,0.0003189
1977-12-13,0.0003214
1977-12-14,0.0003226
1977-12-15,0.0003221
1977-12-16,0.0003207
1977-12-19,0.0003228
1977-12-20,0.0003255
1977-12-21,0.0003255
1977-12-22,0.0003228
1977-12-23,0.0003223
1977-12-27,0.0003236
1977-12-28,0.0003271
1977-12-29,0.00033
1977-12-30,0.00033
1978-01-03,0.0003314
1978-01-04,0.0003372
1978-01-05,0.0003279
1978-01-09,0.0003298
1978-01-10,0.0003319
1978-01-11,0.0003375
1978-01-12,0.0003404
1978-01-13,0.0003358
1978-01-16,0.0003374
1978-01-17,0.0003376
1978-01-18,0.0003376
1978-01-19,0.0003386
1978-01-20,0.0003399
1978-01-23,0.0003417
1978-01-24,0.0003428
1978-01-25,0.0003435
1978-01-26,0.0003438
1978-01-27,0.000344
